Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
7346,NBA 07,nba-07,Sports,E,PS3,Sony Computer Entertainment,SCE San Diego Studio,,,,,0.27,0.24,,0.01,0.02,2006.0,04th Dec 18,http://www.vgchartz.com/game/5429/nba-07/?region=All,1,,/games/boxart/full_8668168AmericaFrontccc.jpg
7347,Assassin's Creed: Altair's Chronicles,assassins-creed-altairs-chronicles,Action,T,DS,Ubisoft,Gameloft,,,,,0.27,0.27,,,,2008.0,,http://www.vgchartz.com/game/14766/assassins-creed-altairs-chronicles/?region=All,1,,/games/boxart/7107093ccc.gif
7348,Plants vs. Zombies,plants-vs-zombies,Strategy,E10,X360,PopCap Games,PopCap Games,,8.9,,,0.27,0.24,,,0.02,2010.0,,http://www.vgchartz.com/game/45020/plants-vs-zombies/?region=All,1,,/games/boxart/full_plants-vs-zombies_604AmericaFront.jpg
7349,Battle Arena Toshinden 3,battle-arena-toshinden-3,Fighting,T,PS,Playmates,Takara,,,,,0.27,0.06,0.04,0.14,0.02,1997.0,,http://www.vgchartz.com/game/2887/battle-arena-toshinden-3/?region=All,1,,/games/boxart/3433584ccc.jpg
7350,Reader Rabbit Kindergarten,reader-rabbit-kindergarten,Misc,E,DS,Graffiti,Graffiti Entertainment,,,,,0.27,0.25,,,0.02,2009.0,,http://www.vgchartz.com/game/40555/reader-rabbit-kindergarten/?region=All,1,,/games/boxart/full_8099609AmericaFrontccc.jpg
7351,Jade Cocoon: Story of the Tamamayu,jade-cocoon-story-of-the-tamamayu,Role-Playing,T,PS,Crave Entertainment,Genki,,,,,0.27,0.15,0.1,,0.02,1999.0,,http://www.vgchartz.com/game/13080/jade-cocoon-story-of-the-tamamayu/?region=All,1,,/games/boxart/full_4531179AmericaFrontccc.jpg
7352,Super Nazo Puyo: Ruruu no Ruu,super-nazo-puyo-ruruu-no-ruu,Puzzle,,SNES,Banpresto,Compile,,,,,0.27,,,0.27,0.0,1995.0,,http://www.vgchartz.com/game/4446/super-nazo-puyo-ruruu-no-ruu/?region=All,1,,/games/boxart/full_5274027JapanFrontccc.jpg
7353,Marvel Super Hero Squad: The Infinity Gauntlet,marvel-super-hero-squad-the-infinity-gauntlet,Action,E10,Wii,THQ,Griptonite Games,,,,,0.27,0.21,0.04,,0.02,2010.0,,http://www.vgchartz.com/game/46291/marvel-super-hero-squad-the-infinity-gauntlet/?region=All,1,,/games/boxart/full_marvel-super-hero-squad-the-infinity-gauntlet_7AmericaFront.jpg
7354,InuYasha: Feudal Combat,inuyasha-feudal-combat,Fighting,T,PS2,Bandai,Eighting,,,,,0.27,0.13,0.1,,0.03,2005.0,,http://www.vgchartz.com/game/1036/inuyasha-feudal-combat/?region=All,1,,/games/boxart/7509015ccc.jpg
7355,AC/DC LIVE: Rock Band Track Pack,ac,Misc,T,Wii,MTV Games,Harmonix Music Systems,,,,,0.27,0.24,0.0,,0.02,2008.0,,http://www.vgchartz.com/game/27413/acdc-live-rock-band-track-pack/?region=All,1,,/games/boxart/full_6852342AmericaFrontccc.jpg
