Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
30062,Europa Universalis III: Chronicles,europa-universalis-iii-chronicles,Strategy,E10,PC,Paradox Interactive,Paradox Interactive,,,,,,,,,,2011.0,,http://www.vgchartz.com/game/50640/europa-universalis-iii-chronicles/?region=All,1,,/games/boxart/full_europa-universalis-iii-chronicles_604AmericaFront.jpg
30063,Europa Universalis III: Divine Wind,europa-universalis-iii-divine-wind,Strategy,E10,PC,Paradox Interactive,Paradox Interactive,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/48172/europa-universalis-iii-divine-wind/?region=All,1,,/games/boxart/full_europa-universalis-iii-divine-wind_872AmericaFront.jpg
30064,Europa Universalis III: Heir to the Throne,europa-universalis-iii-heir-to-the-throne,Strategy,E10,PC,Paradox Interactive,Paradox Interactive,,8.5,,,,,,,,2009.0,,http://www.vgchartz.com/game/38882/europa-universalis-iii-heir-to-the-throne/?region=All,1,,/games/boxart/full_europa-universalis-iii-heir-to-the-throne_407AmericaFront.jpg
30065,Europa Universalis III: In Nomine,europa-universalis-iii-in-nomine,Strategy,E,PC,Paradox Interactive,Paradox Interactive,,,,,,,,,,2008.0,,http://www.vgchartz.com/game/26472/europa-universalis-iii-in-nomine/?region=All,1,,/games/boxart/full_9703897AmericaFrontccc.jpg
30066,Europa Universalis III: Napoleon's Ambition,europa-universalis-iii-napoleons-ambition,Strategy,E,PC,GamersGate,Paradox Interactive,,,,,,,,,,2007.0,,http://www.vgchartz.com/game/17393/europa-universalis-iii-napoleons-ambition/?region=All,1,,/games/boxart/full_europa-universalis-iii-napoleons-ambition_972AmericaFront.jpg
30067,Europa Universalis IV,europa-universalis-iv,Misc,,OSX,Paradox Interactive,Unknown,,,,,,,,,,2013.0,,http://www.vgchartz.com/game/75716/europa-universalis-iv/?region=All,1,,/games/boxart/default.jpg
30068,Europa Universalis IV,europa-universalis-iv,Misc,,Linux,Paradox Interactive,Unknown,,,,,,,,,,2013.0,,http://www.vgchartz.com/game/75718/europa-universalis-iv/?region=All,1,,/games/boxart/default.jpg
30069,Europa Universalis: Crown of the North,europa-universalis-crown-of-the-north,Strategy,E,PC,Strategy First,Paradox Interactive,,,,,,,,,,2003.0,,http://www.vgchartz.com/game/30787/europa-universalis-crown-of-the-north/?region=All,1,,/games/boxart/full_europa-universalis-crown-of-the-north_415AmericaFront.jpg
30070,Europa Universalis: Rome - Vae Victis,europa-universalis-rome-vae-victis,Strategy,E10,PC,Paradox Interactive,Paradox Interactive,,,,,,,,,,2008.0,,http://www.vgchartz.com/game/50766/europa-universalis-rome-vae-victis/?region=All,1,,/games/boxart/full_europa-universalis-rome-vae-victis_816AmericaFront.jpg
30071,European Air War,european-air-war,Simulation,,PC,Atari,Third Wave,,,,,,,,,,1998.0,,http://www.vgchartz.com/game/34248/european-air-war/?region=All,1,,/games/boxart/full_4517510AmericaFrontccc.jpg
30072,European Conqueror 3D,european-conqueror-3d,Strategy,,3DS,CIRCLE Entertainment,CIRCLE Entertainment,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/83239/european-conqueror-3d/?region=All,1,,/games/boxart/full_5427783AmericaFrontccc.png
30073,European Soccer Challenge,european-soccer-challenge,Sports,,Lynx,Telegames,"Telegames, Inc.",,,,,,,,,,1993.0,,http://www.vgchartz.com/game/22494/european-soccer-challenge/?region=All,1,,/games/boxart/4338507ccc.jpg
30074,European Super League,european-super-league,Sports,,GBA,Virgin Interactive,Aqua Pacific,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/26822/european-super-league/?region=All,1,,/games/boxart/full_3988446PALFrontccc.jpg
30075,European Super League,european-super-league,Sports,,DC,Virgin Interactive,Virgin Interactive,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/29630/european-super-league/?region=All,1,,/games/boxart/full_9099001PALFrontccc.jpg
30076,European Super League,european-super-league,Sports,,GB,Virgin Interactive,Aqua Pacific,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/49676/european-super-league/?region=All,1,,/games/boxart/full_european-super-league_248PALFront.jpg
30077,European Super League,european-super-league,Sports,,PS,Virgin Interactive,Virgin Interactive,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/49677/european-super-league/?region=All,1,,/games/boxart/full_european-super-league_561PALFront.jpg
30078,European Super League,european-super-league,Sports,,PC,Virgin Interactive,Virgin Interactive,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/49678/european-super-league/?region=All,1,,/games/boxart/full_european-super-league_938PALFront.jpg
30079,Evander 'Real Deal' Holyfield's Boxing,evander-real-deal-holyfields-boxing,Sports,,GG,Sega,Sega,,,,,,,,,,1992.0,,http://www.vgchartz.com/game/19027/evander-real-deal-holyfields-boxing/?region=All,1,,/games/boxart/full_8103205AmericaFrontccc.jpg
30080,Evander 'Real Deal' Holyfield's Boxing,evander-real-deal-holyfields-boxing,Sports,,GEN,Sega,ACME Interactive,,,,,,,,,,1992.0,,http://www.vgchartz.com/game/26704/evander-real-deal-holyfields-boxing/?region=All,1,,/games/boxart/7647264ccc.jpg
30081,Evangelion Shin Gekijoban: 3nd Impact,evangelion-shin-gekijoban-3nd-impact,Action,,PSN,Namco Bandai,Grasshopper Manufacture,,,,,,,,,,2011.0,,http://www.vgchartz.com/game/64344/evangelion-shin-gekijoban-3nd-impact/?region=All,1,,/games/boxart/full_evangelion-shin-gekijoban-3nd-impact_800JapanFront.jpg
30082,Evasive Space,evasive-space,Action,E,WW,Yuke's,High Voltage Software,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/28819/evasive-space/?region=All,1,,/games/boxart/full_3614660AmericaFrontccc.jpg
30083,EVE Online: Apocrypha,eve-online-apocrypha,Role-Playing,T,PC,CCP,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37133/eve-online-apocrypha/?region=All,1,,/games/boxart/full_8259651AmericaFrontccc.jpg
30084,EVE Online: Dominion,eve-online-dominion,Role-Playing,,PC,CCP,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/41421/eve-online-dominion/?region=All,1,,/games/boxart/default.jpg
30085,EVE Online: Empyrean Age,eve-online-empyrean-age,Role-Playing,,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37134/eve-online-empyrean-age/?region=All,1,,/games/boxart/default.jpg
30086,EVE Online: Exodus,eve-online-exodus,Role-Playing,T,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37135/eve-online-exodus/?region=All,1,,/games/boxart/default.jpg
30087,EVE Online: Quantum Rise,eve-online-quantum-rise,Role-Playing,,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37136/eve-online-quantum-rise/?region=All,1,,/games/boxart/default.jpg
30088,EVE Online: Revelations,eve-online-revelations,Role-Playing,T,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37137/eve-online-revelations/?region=All,1,,/games/boxart/default.jpg
30089,EVE Online: Revelations II,eve-online-revelations-ii,Role-Playing,,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37138/eve-online-revelations-ii/?region=All,1,,/games/boxart/default.jpg
30090,EVE Online: Trinity,eve-online-trinity,Role-Playing,T,PC,Unknown,CCP,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/37139/eve-online-trinity/?region=All,1,,/games/boxart/default.jpg
30091,EVE The Fatal Attraction,eve-the-fatal-attraction,Adventure,,PS,NetVillage,C's Ware,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/38131/eve-the-fatal-attraction/?region=All,1,,/games/boxart/full_5319844JapanFrontccc.jpg
30092,EVE the First: burst error,eve-the-first-burst-error,Adventure,,PSP,Kadokawa Shoten,Kadokawa Shoten,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/41617/eve-the-first-burst-error/?region=All,1,,/games/boxart/full_6053619JapanFrontccc.jpg
30093,Eve Zero,eve-zero,Adventure,,PS,NetVillage,NetVillage,,,,,,,,,,2000.0,,http://www.vgchartz.com/game/38127/eve-zero/?region=All,1,,/games/boxart/full_5068713JapanFrontccc.jpg
30094,Eve Zero: Ark of the Matter,eve-zero-ark-of-the-matter,Adventure,,PC,C's Ware,C's Ware,,,,,,,,,,2000.0,,http://www.vgchartz.com/game/38128/eve-zero-ark-of-the-matter/?region=All,1,,/games/boxart/default.jpg
30095,Eve Zero: The Ark of the Matter,eve-zero-the-ark-of-the-matter,Adventure,,DC,NetVillage,NetVillage,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/37747/eve-zero-the-ark-of-the-matter/?region=All,1,,/games/boxart/full_3076199JapanFrontccc.jpg
30096,EVE: burst error,eve-burst-error,Adventure,M,PC,Himeya,C's Ware,,,,,,,,,,1999.0,,http://www.vgchartz.com/game/41615/eve-burst-error/?region=All,1,,/games/boxart/full_3428964AmericaFrontccc.jpg
30097,EVE: burst error Plus,eve-burst-error-plus,Adventure,,PS2,Game Village,GameVillage,,,,,,,,,,2003.0,,http://www.vgchartz.com/game/41616/eve-burst-error-plus/?region=All,1,,/games/boxart/full_1632849JapanFrontccc.jpg
30098,EVE: Valkyrie,eve-valkyrie,Shooter,,PC,CCP,CCP,,,,,,,,,,2016.0,,http://www.vgchartz.com/game/84905/eve-valkyrie/?region=All,1,,/games/boxart/full_7284617AmericaFrontccc.jpg
30099,Evel Knievel,evel-knievel,Racing,E,GB,Rockstar Games,Tarantula Studios,,,,,,,,,,1999.0,,http://www.vgchartz.com/game/19381/evel-knievel/?region=All,1,,/games/boxart/full_evel-knievel_414AmericaFront.jpg
30100,"Even So, I Still Love You"," i still love you""",Action,,XBL,Microsoft,nakfiv,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/38872/even-so-i-still-love-you/?region=All,1,,/games/boxart/full_7511525AmericaFrontccc.jpg
30101,Ever17 ã€œout of infinityã€œ,ever17-amp12316out-of-infinityamp12316,Adventure,T,PC,Hirameki International Group,KID Corporation,,,,,,,,,,2005.0,,http://www.vgchartz.com/game/32686/ever17-amp12316out-of-infinityamp12316/?region=All,1,,/games/boxart/full_2947679AmericaFrontccc.jpg
30102,Ever17 ã€œthe out of infinityã€œ,ever17-amp12316the-out-of-infinityamp12316,Adventure,,PS2,KID,KID Corporation,,,,,,,,,,2002.0,,http://www.vgchartz.com/game/17412/ever17-amp12316the-out-of-infinityamp12316/?region=All,1,,/games/boxart/full_5388116JapanFrontccc.jpg
30103,Ever17 ã€œthe out of infinityã€œ,ever17-amp12316the-out-of-infinityamp12316,Adventure,,DC,KID,KID Corporation,,,,,,,,,,2002.0,,http://www.vgchartz.com/game/32685/ever17-amp12316the-out-of-infinityamp12316/?region=All,1,,/games/boxart/full_9861098JapanFrontccc.jpg
30104,Ever17 ã€œthe out of infinityã€œ Premium Edition,ever17-amp12316the-out-of-infinityamp12316-premium-edition,Adventure,,PSN,CyberFront,KID Corporation,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/46420/ever17-amp12316the-out-of-infinityamp12316-premium-edition/?region=All,1,,/games/boxart/full_ever17-amp12316the-out-of-infinityamp12316-premium-edition_10JapanFront.jpg
30105,Ever17: The Out of Infinity,ever17-the-out-of-infinity,Visual Novel,,X360,5pb,5pb. Games,,,,,,,,,,2011.0,19th Dec 18,http://www.vgchartz.com/game/50926/ever17-the-out-of-infinity/?region=All,1,,/games/boxart/full_ever17_397JapanFront.jpg
30106,EverBlue,everblue,Adventure,,PS2,Capcom,Arika,,,,,,,,,,2002.0,,http://www.vgchartz.com/game/39358/everblue/?region=All,1,,/games/boxart/full_4659925PALFrontccc.jpg
30107,Everest,everest,Misc,,PC,Activision Value,Unknown,,,,,,,,,,2004.0,,http://www.vgchartz.com/game/72121/everest/?region=All,1,,/games/boxart/default.jpg
30108,Everest (1999),everest-1999,Sports,,PC,GT Interactive,a.k.a Studios,,,,,,,,,,1999.0,,http://www.vgchartz.com/game/30276/everest-1999/?region=All,1,,/games/boxart/default.jpg
30109,everGirl,evergirl,Adventure,,PC,THQ,THQ,,,,,,,,,,2004.0,,http://www.vgchartz.com/game/21944/evergirl/?region=All,1,,/games/boxart/8800819ccc.jpg
30110,Evergreen Avenue,evergreen-avenue,Adventure,,PS,Datam Polystar,MediaWorks,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/46950/evergreen-avenue/?region=All,1,,/games/boxart/full_evergreen-avenue_5JapanFront.jpg
30111,Evergreen Avenue,evergreen-avenue,Adventure,,PSN,Datam Polystar,MediaWorks,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/46951/evergreen-avenue/?region=All,1,,/games/boxart/full_evergreen-avenue_6JapanFront.jpg
30112,Everlight of Magic & Power,everlight-of-magic-amp-power,Adventure,T,PC,DreamCatcher Interactive,Silver Style Entertainment,,,,,,,,,,2008.0,,http://www.vgchartz.com/game/24565/everlight-of-magic-amp-power/?region=All,1,,/games/boxart/full_2612518AmericaFrontccc.jpg
30113,EverQuest,everquest,Role-Playing,T,PC,Sony Online Entertainment,Verant Interactive,,8.0,,,,,,,,1999.0,,http://www.vgchartz.com/game/7420/everquest/?region=All,1,,/games/boxart/full_everquest_878AmericaFront.jpg
30114,EverQuest II,everquest-ii,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2004.0,,http://www.vgchartz.com/game/7421/everquest-ii/?region=All,1,,/games/boxart/5120734ccc.jpg
30115,EverQuest II: Desert of Flames,everquest-ii-desert-of-flames,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2005.0,,http://www.vgchartz.com/game/25714/everquest-ii-desert-of-flames/?region=All,1,,/games/boxart/full_everquest-ii-desert-of-flames_661AmericaFront.jpg
30116,EverQuest II: Echoes of Faydwer,everquest-ii-echoes-of-faydwer,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2006.0,,http://www.vgchartz.com/game/33125/everquest-ii-echoes-of-faydwer/?region=All,1,,/games/boxart/full_6689091AmericaFrontccc.jpg
30117,EverQuest II: Kingdom of Sky,everquest-ii-kingdom-of-sky,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2006.0,,http://www.vgchartz.com/game/25715/everquest-ii-kingdom-of-sky/?region=All,1,,/games/boxart/6102407ccc.jpg
30118,EverQuest II: Rise of Kunark,everquest-ii-rise-of-kunark,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2007.0,,http://www.vgchartz.com/game/33134/everquest-ii-rise-of-kunark/?region=All,1,,/games/boxart/full_6580524AmericaFrontccc.jpg
30119,EverQuest II: Sentinel's Fate,everquest-ii-sentinels-fate,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/43530/everquest-ii-sentinels-fate/?region=All,1,,/games/boxart/full_5127960AmericaFrontccc.jpg
30120,EverQuest II: The Shadow Odyssey,everquest-ii-the-shadow-odyssey,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2008.0,,http://www.vgchartz.com/game/27134/everquest-ii-the-shadow-odyssey/?region=All,1,,/games/boxart/full_2538565AmericaFrontccc.jpg
30121,EverQuest Next,everquest-next,MMO,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2019.0,15th Sep 18,http://www.vgchartz.com/game/75129/everquest-next/?region=All,1,,/games/boxart/full_2022855AmericaFrontccc.png
30122,EverQuest Next,everquest-next,MMO,,PS4,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2019.0,15th Sep 18,http://www.vgchartz.com/game/78471/everquest-next/?region=All,1,,/games/boxart/full_5257093AmericaFrontccc.png
30123,EverQuest Underfoot,everquest-underfoot,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/41964/everquest-underfoot/?region=All,1,,/games/boxart/full_612228AmericaFrontccc.jpg
30124,EverQuest: Gates of Discord,everquest-gates-of-discord,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2004.0,,http://www.vgchartz.com/game/33867/everquest-gates-of-discord/?region=All,1,,/games/boxart/full_4582545AmericaFrontccc.jpg
30125,EverQuest: House of Thule,everquest-house-of-thule,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/47952/everquest-house-of-thule/?region=All,1,,/games/boxart/full_everquest-house-of-thule_9AmericaFront.jpg
30126,EverQuest: The Buried Sea,everquest-the-buried-sea,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2007.0,,http://www.vgchartz.com/game/20059/everquest-the-buried-sea/?region=All,1,,/games/boxart/4677284ccc.jpg
30127,Everquest: Veil of Alaris,everquest-veil-of-alaris,Role-Playing,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2011.0,,http://www.vgchartz.com/game/67009/everquest-veil-of-alaris/?region=All,1,,/games/boxart/full_everquest-veil-of-alaris_968AmericaFront.jpg
30128,Eversion,eversion,Platform,,PC,Unknown,Zaratustra Productions,,,,,,,,,,2011.0,,http://www.vgchartz.com/game/45525/eversion/?region=All,1,,/games/boxart/default.jpg
30129,Every Extend,every-extend,Shooter,,PC,Omega,Omega,,,,,,,,,,2004.0,,http://www.vgchartz.com/game/45270/every-extend/?region=All,1,,/games/boxart/default.jpg
30130,Everybody's Gone to the Rapture,everybodys-gone-to-the-rapture,Adventure,,PS4,Sony Computer Entertainment,The Chinese Room,,,,,,,,,,2015.0,14th Sep 18,http://www.vgchartz.com/game/76719/everybodys-gone-to-the-rapture/?region=All,1,,/games/boxart/full_7181904AmericaFrontccc.jpg
30131,Everybody's Putter Golf with TORO,everybodys-putter-golf-with-toro,Sports,,PSN,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,,,,2008.0,,http://www.vgchartz.com/game/30070/everybodys-putter-golf-with-toro/?region=All,1,,/games/boxart/full_everybodys-putter-golf-with-toro_313JapanFront.jpg
30132,Everybody's Stress Buster,everybodys-stress-buster,Misc,,PSN,Sony Computer Entertainment,SCEI,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/49419/everybodys-stress-buster/?region=All,1,,/games/boxart/full_everybodys-stress-buster_693PALFront.png
30133,Everyday Genius: SquareLogic,everyday-genius-squarelogic,Puzzle,,PC,Mumbo Jumbo,TrueThought,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/40223/everyday-genius-squarelogic/?region=All,1,,/games/boxart/full_2841187AmericaFrontccc.jpg
30134,Everyday Shooter,everyday-shooter,Shooter,E,PSN,Sony Computer Entertainment,Queasy Games,,8.4,,,,,,,,2007.0,,http://www.vgchartz.com/game/17580/everyday-shooter/?region=All,1,7.7,/games/boxart/full_everyday-shooter_890AmericaFront.jpg
30135,Everyday Shooter,everyday-shooter,Shooter,,PC,Queasy Games,Queasy Games,,8.0,,,,,,,,2008.0,,http://www.vgchartz.com/game/37395/everyday-shooter/?region=All,1,,/games/boxart/full_1909962AmericaFrontccc.jpg
30136,Everyday Shooter (PSP),everyday-shooter-psp,Shooter,E,PSN,Sony Computer Entertainment,Queasy Games,,7.0,,,,,,,,2008.0,,http://www.vgchartz.com/game/38991/everyday-shooter-psp/?region=All,1,,/games/boxart/full_5737445AmericaFrontccc.png
30137,Everyday Soccer,everyday-soccer,Sports,E,DSiW,Aksys Games,Arc System Works,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/45783/everyday-soccer/?region=All,1,,/games/boxart/full_everyday-soccer_72AmericaFront.jpg
30138,Evidence: The Last Ritual,evidence-the-last-ritual,Adventure,E,PC,The Adventure Company,Lexis Numerique,,,,,,,,,,2006.0,,http://www.vgchartz.com/game/21689/evidence-the-last-ritual/?region=All,1,,/games/boxart/8942788ccc.jpg
30139,Evil Days of Luckless John,evil-days-of-luckless-john,Adventure,,PC,Playlogic Game Factory,Centauri Production,,,,,,,,,,2006.0,,http://www.vgchartz.com/game/28658/evil-days-of-luckless-john/?region=All,1,,/games/boxart/full_evil-days-of-luckless-john_587PALFront.jpg
30140,Evil Dead: Hail to the King,evil-dead-hail-to-the-king,Adventure,M,DC,THQ,Heavy Iron Studios,,5.1,,,,,,,,2000.0,,http://www.vgchartz.com/game/675/evil-dead-hail-to-the-king/?region=All,1,,/games/boxart/full_4909633AmericaFrontccc.jpg
30141,Evil Dead: Hail to the King,evil-dead-hail-to-the-king,Adventure,M,PC,THQ,Heavy Iron Studios,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/32834/evil-dead-hail-to-the-king/?region=All,1,,/games/boxart/full_6007785AmericaFrontccc.jpg
30142,Evil Dead: Regeneration,evil-dead-regeneration,Action,M,PC,THQ,Cranky Pants Games,,,,,,,,,,2005.0,,http://www.vgchartz.com/game/21946/evil-dead-regeneration/?region=All,1,,/games/boxart/5320688ccc.jpg
30143,Evil Defenders,evil-defenders,Strategy,,And,CP Decision Limited,CP Decision Limited,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/83459/evil-defenders/?region=All,1,,/games/boxart/full_8480566AmericaFrontccc.png
30144,Evil Islands: Curse of the Lost Soul,evil-islands-curse-of-the-lost-soul,Role-Playing,T,PC,Fishtank Interactive,Nival Interactive,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/37620/evil-islands-curse-of-the-lost-soul/?region=All,1,,/games/boxart/full_7864037AmericaFrontccc.jpg
30145,Evil Islands: Lost in Astral,evil-islands-lost-in-astral,Role-Playing,,PC,Nival Interactive,Matilda Entertainment,,,,,,,,,,2006.0,,http://www.vgchartz.com/game/37619/evil-islands-lost-in-astral/?region=All,1,,/games/boxart/default.jpg
30146,Evil Pumpkin: The Lost Halloween,evil-pumpkin-the-lost-halloween,Adventure,,Linux,Two Desperados,Two Desperados,,,,,,,,,,2014.0,07th Aug 18,http://www.vgchartz.com/game/83649/evil-pumpkin-the-lost-halloween/?region=All,1,,/games/boxart/full_3931958PALFrontccc.jpg
30147,Evil Pumpkin: The Lost Halloween,evil-pumpkin-the-lost-halloween,Adventure,,OSX,Two Desperados,Two Desperados,,,,,,,,,,2014.0,07th Aug 18,http://www.vgchartz.com/game/83650/evil-pumpkin-the-lost-halloween/?region=All,1,,/games/boxart/full_4759439PALFrontccc.jpg
30148,Evil Pumpkin: The Lost Halloween,evil-pumpkin-the-lost-halloween,Adventure,,PC,Two Desperados,Two Desperados,,,,,,,,,,2014.0,07th Aug 18,http://www.vgchartz.com/game/83651/evil-pumpkin-the-lost-halloween/?region=All,1,,/games/boxart/full_1082526PALFrontccc.jpg
30149,Evil Twin: Cyprien's Chronicles,evil-twin-cypriens-chronicles,Platform,,PC,Ubisoft,Ubisoft,,,,,,,,,,2001.0,,http://www.vgchartz.com/game/25716/evil-twin-cypriens-chronicles/?region=All,1,,/games/boxart/full_1163594PALFrontccc.jpg
30150,Evil Twin: Cyprien's Chronicles,evil-twin-cypriens-chronicles,Platform,,PS2,Unknown,In Utero,,,,,,,,,,2020.0,,http://www.vgchartz.com/game/25717/evil-twin-cypriens-chronicles/?region=All,1,,/games/boxart/full_2684029PALFrontccc.jpg
30151,Evil Twin: Cyprien's Chronicles,evil-twin-cypriens-chronicles,Platform,T,DC,Unknown,In Utero,,,,,,,,,,2020.0,,http://www.vgchartz.com/game/25718/evil-twin-cypriens-chronicles/?region=All,1,,/games/boxart/full_8252565AmericaFrontccc.jpg
30152,Evochron,evochron,Simulation,,PC,Unknown,StarWraith,,,,,,,,,,2005.0,,http://www.vgchartz.com/game/50477/evochron/?region=All,1,,/games/boxart/full_evochron_749AmericaFront.jpg
30153,Evochron Alliance,evochron-alliance,Simulation,,PC,Unknown,StarWraith 3D Games,,,,,,,,,,2005.0,,http://www.vgchartz.com/game/50470/evochron-alliance/?region=All,1,,/games/boxart/full_evochron-alliance_683PALFront.jpg
30154,Evochron Legends,evochron-legends,Simulation,,PC,Unknown,StarWraith 3D Games,,,,,,,,,,2009.0,,http://www.vgchartz.com/game/50468/evochron-legends/?region=All,1,,/games/boxart/full_evochron-legends_948AmericaFront.jpg
30155,Evochron Mercenary,evochron-mercenary,Simulation,,PC,Unknown,StarWraith 3D Games,,,,,,,,,,2010.0,,http://www.vgchartz.com/game/50467/evochron-mercenary/?region=All,1,,/games/boxart/full_evochron-mercenary_180AmericaFront.jpg
30156,Evochron Renegades,evochron-renegades,Simulation,,PC,Unknown,StarWraith 3D Games,,,,,,,,,,2007.0,,http://www.vgchartz.com/game/50469/evochron-renegades/?region=All,1,,/games/boxart/full_evochron-renegades_817AmericaFront.jpg
30157,Evofish,evofish,Misc,,WiiU,Bulkypix,Unknown,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/79139/evofish/?region=All,1,,/games/boxart/default.jpg
30158,Evofish,evofish,Misc,,And,Bulkypix,Unknown,,,,,,,,,,2013.0,,http://www.vgchartz.com/game/79141/evofish/?region=All,1,,/games/boxart/default.jpg
30159,Evoland,evoland,Misc,,OSX,Shiro Games,Unknown,,,,,,,,,,2013.0,,http://www.vgchartz.com/game/77533/evoland/?region=All,1,,/games/boxart/default.jpg
30160,Evoland 2,evoland-2,Role-Playing,,OSX,Shiro Games,Shiro Games,,,,,,,,,,2015.0,10th Aug 18,http://www.vgchartz.com/game/84535/evoland-2/?region=All,1,,/games/boxart/full_3331453AmericaFrontccc.jpg
30161,Evolution 2: Far Off Promise,evolution-2-far-off-promise,Role-Playing,T,DC,Ubisoft,Sting,,5.6,,,,,,,,2000.0,,http://www.vgchartz.com/game/678/evolution-2-far-off-promise/?region=All,1,,/games/boxart/8568182ccc.jpg
30162,Evolution RTS,evolution-rts,Misc,,PC,Unknown,Unknown,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/80990/evolution-rts/?region=All,1,,/games/boxart/default.jpg
30163,Evolution Snowboarding,evolution-snowboarding,Sports,T,GC,Konami,Konami Computer Entertainment Osaka,,,,,,,,,,2003.0,,http://www.vgchartz.com/game/25398/evolution-snowboarding/?region=All,1,,/games/boxart/2734997ccc.jpg
30164,Evolution: Battle for Utopia,evolution-battle-for-utopia,Misc,,And,MY.COM,Unknown,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/80321/evolution-battle-for-utopia/?region=All,1,,/games/boxart/default.jpg
30165,Evolution: Dino Dudes,evolution-dino-dudes,Puzzle,,AJ,Atari,"Imagitec Design, Inc.",,,,,,,,,,1994.0,,http://www.vgchartz.com/game/19625/evolution-dino-dudes/?region=All,1,,/games/boxart/4013475ccc.jpg
30166,Evolution: The World of Sacred Device,evolution-the-world-of-sacred-device,Role-Playing,T,DC,Ubisoft,Sting,,6.7,,,,,,,,1999.0,,http://www.vgchartz.com/game/677/evolution-the-world-of-sacred-device/?region=All,1,,/games/boxart/2219591ccc.jpg
30167,Evolva,evolva,Action,,PC,Interplay,Computer Artworks,,,,,,,,,,2000.0,,http://www.vgchartz.com/game/19772/evolva/?region=All,1,,/games/boxart/2908378ccc.jpg
30168,Evopollution,evopollution,Misc,,PC,Unknown,Unknown,,,,,,,,,,2014.0,,http://www.vgchartz.com/game/81636/evopollution/?region=All,1,,/games/boxart/default.jpg
30169,EX Jinsei Game,ex-jinsei-game,Misc,,PS2,Takara,Takara,,,,,,,,,,2002.0,,http://www.vgchartz.com/game/45959/ex-jinsei-game/?region=All,1,,/games/boxart/full_ex-jinsei-game_9JapanFront.jpg
